fish,jahr,subdiv,quartal,n,sx,sy,sxy,sqx,sgy,b,ln_a,r
181,2018,22,1,70,234.065133683616,359.936345415495,1204.4838357357,783.029089023351,1853.5571742174,2.5566013109063,-3.40678403139282,1
181,2018,22,2,218,707.845011177903,1051.37373093383,3428.50931237104,2303.00945755888,5118.97682252608,3.16893104894168,-5.46668946250592,1
181,2018,24,1,1069,3497.59758373305,5216.38086454655,17125.0153013336,11461.8915403253,25651.6728186279,3.15943499369823,-5.4574848787409,0.980352229539939
181,2018,24,2,548,1805.36211192357,2675.82495166966,8837.64156611185,5954.22345591527,13149.6878799725,3.40431502878154,-6.33247521595716,0.980352229539939
181,2018,24,4,119,379.691195961018,554.794475023441,1782.91782832128,1215.21376239843,2630.58675141804,3.40793234032186,-6.21149101703865,0.980352229539939
181,2018,27,1,67,167.309885394637,157.483867274087,406.68642372569,421.86994277796,414.944291968673,3.29820613506007,-5.88565109239854,NA
293,2018,22,1,513,1890.25355266677,3292.47321018888,12263.4638057524,7006.77421903517,21551.6729970344,3.15397842200138,-5.20340293768726,0.997884279705543
293,2018,22,2,417,1656.89032341293,3031.99332484108,12172.4324484251,6629.48572432239,22435.6780634929,2.7185799921603,-3.5309245985451,0.997884279705543
293,2018,22,3,398,1618.71159937199,2983.62485871967,12232.9036825672,6615.71651614523,22668.7569140371,3.04550259916419,-4.88986312679632,0.997884279705543
293,2018,22,4,283,1077.6160018693,1912.89360245338,7293.19831417193,4107.03441598913,12956.1447474505,2.52333167150234,-2.84907768473905,0.997884279705543
293,2018,24,1,203,720.530328001456,1193.71554281636,4248.21116200993,2561.43886794728,7052.43622342443,2.81959042085078,-4.12751166477349,0.997705210687441
293,2018,24,2,684,2515.03487884999,4331.89782650934,16013.4304779704,9274.5947771163,27714.6742134019,3.16529696786378,-5.30545972161721,0.997705210687441
293,2018,24,4,523,1940.22181247429,3355.95968518459,12514.9017389152,7220.02796832448,21731.4767158902,2.9264323222112,-4.43970963498925,0.997705210687441
293,2018,25,1,278,990.467597155028,1670.22250598136,5986.37277111938,3540.55050384234,10146.0885607775,3.05217803761844,-4.86640626269038,1
293,2018,25,2,494,1774.82621172663,3000.96360497096,10882.4141881267,6407.96125872809,18560.5937157269,3.20286293649668,-5.43231070301836,1
293,2018,26,2,213,749.740338241137,1252.76294548472,4432.92801262631,2646.59680782748,7441.79924074634,3.0762545115313,-4.94661573946752,NA
407,2018,22,1,933,2949.4177079441,4606.01234311543,14700.8893005924,9368.28867124841,23191.5904330116,3.14994053905923,-5.02087680788514,0.999939352174552
407,2018,22,2,588,1871.72993147359,2932.27686997404,9445.46722452869,5993.8039277097,14978.8041027402,3.1216665731545,-4.95006784197249,0.999939352174552
407,2018,22,3,24,79.7917737291319,129.073566794284,429.889665654478,265.63810562211,696.061276180205,2.13605773290788,-1.72359452092767,0.999939352174552
407,2018,22,4,262,825.537549015983,1282.07065839471,4073.54991792956,2612.49526111152,6378.21839970194,2.99597124027091,-4.54662632145386,0.999939352174552
407,2018,24,2,36,111.948321632156,173.638140533757,544.455972953912,349.658010776793,851.266219594698,2.92999862751395,-4.28806356113751,0.988029810835675
407,2018,24,3,19,64.3223244353452,104.9224152092,355.487236022431,217.853330149185,580.417452444174,2.91808017032809,-4.35659390710481,0.988029810835675
407,2018,24,4,79,261.323955339801,429.090691289786,1421.08724651184,865.06658741183,2335.97771688899,2.68159359304743,-3.43891079821821,0.988029810835675
604,2018,22,1,620,2124.76161661091,3584.09083858799,12323.960280833,7294.61177537128,20867.4355246993,3.17081473219962,-5.08570096415191,0.995315324047884
604,2018,22,2,318,1075.3660525104,1753.01171300968,5947.89904408371,3643.78829688419,9723.92441764969,2.72541591220364,-3.70379886146474,0.995315324047884
604,2018,22,3,108,378.042667543473,635.976255261594,2229.32566122194,1324.45212448327,3755.446148031,2.73748694202066,-3.69361676541963,0.995315324047884
604,2018,22,4,201,684.345274086403,1153.60775794351,3942.04019674556,2334.84705027087,6666.75705484677,2.95557855939521,-4.32352468343136,0.995315324047884
604,2018,24,1,127,424.574382879458,674.614278896246,2262.59627993909,1422.05407019543,3605.77750815229,2.74339340251148,-3.85952977929638,0.831632183780971
604,2018,24,2,390,1315.94986027188,2127.74782036852,7208.7732222755,4451.36530057506,11691.7866418254,2.64878464423413,-3.48184605667098,0.831632183780971
604,2018,24,3,233,786.978508070514,1316.27848261498,4456.26554282113,2661.92911217593,7468.29945440916,2.71381555117328,-3.51689283702115,0.831632183780971
604,2018,24,4,403,1344.64465900927,2212.79006511966,7410.94180896636,4496.27673335191,12238.564698943,2.84795242951622,-4.01164753930968,0.831632183780971
604,2018,25,1,267,873.560454484915,1376.3932880293,4521.38256313427,2864.64424204649,7151.13909708482,2.7659800720107,-3.89459745607709,1
604,2018,25,2,130,419.77231047212,652.259331418428,2114.46215913281,1358.62317016747,3296.2460189547,2.61917293127744,-3.43997647284568,1
604,2018,26,2,153,498.681730055493,782.374847995622,2562.75869560389,1630.19061212852,4037.43911211764,2.64516634575651,-3.50798223261963,NA
607,2018,22,1,1270,4261.33421100098,6930.70189747259,23451.9134686534,14359.5079053398,38484.1208311975,3.22003073756113,-5.34718523226092,0.993748866132012
607,2018,22,2,418,1385.91201582765,2216.16313937798,7402.53010350604,4613.51091870602,11919.3988741398,2.9693473555631,-4.54327999967219,0.993748866132012
607,2018,22,3,231,803.157721908659,1356.71558490083,4724.56958857043,2795.1070276259,7992.21663732933,2.83007023910361,-3.96656788389231,0.993748866132012
607,2018,22,4,313,1044.92655984613,1707.29735661108,5734.88687938367,3499.68355735029,9425.82642551822,3.12209474577694,-4.96825036935236,0.993748866132012
607,2018,24,1,15,49.5275930978702,77.5204162754184,257.084785213074,163.913063986828,404.0971621925,2.95304070522072,-4.58243881161343,0.922677358699142
607,2018,24,2,413,1403.7048596554,2306.76349015257,7897.69676704536,4791.01340424719,13054.1144179112,2.85906076214182,-4.13199514701202,0.922677358699142
607,2018,24,3,168,576.789582935438,965.094442906388,3326.7989871186,1984.92416061754,5584.18485013931,2.87542266428699,-4.12749640708815,0.922677358699142
607,2018,24,4,345,1161.16585751043,1932.65810582572,6529.1033679871,3915.97706882468,10907.1562519689,3.10578022054925,-4.85121115132549,0.922677358699142
607,2018,25,1,28,88.7118724961728,132.266233871541,419.717606082905,281.281856304747,626.966680855089,3.03621125243969,-4.89577684379764,1
607,2018,25,2,8,26.2801621944847,41.1160247343289,135.63741218415,86.5030485932651,213.229289837421,3.31297180838973,-5.74367646698854,1
607,2018,26,2,2,6.45244319847939,9.66928305386249,31.3155510984006,20.8670462674117,47.0367647916297,2.40435887112702,-2.92235299542231,NA
630,2018,22,1,21,71.8087895624066,130.313027019,446.890161341317,245.935777058684,813.034958043782,3.32218124996086,-5.15470415464822,0.99217869546425
630,2018,22,2,22,73.7827692833512,132.259586523503,445.612825694588,248.077617370494,802.037206042657,3.25864234596781,-4.91691226663626,0.99217869546425
630,2018,22,3,4,13.759152683901,24.6010395358392,84.8881957030663,47.4138803850708,152.137654972907,3.11606755470211,-4.56835243066426,0.99217869546425
630,2018,22,4,10,33.7046380961812,60.6893087392219,205.125717774296,113.802074818188,369.973583783904,2.84720099070138,-3.52745702394566,0.99217869546425
630,2018,24,2,68,228.821525276226,405.58929247908,1367.2413998876,770.853173220474,2427.61086763337,2.80721449396747,-3.48179132070715,0.99955141583109
630,2018,24,3,3,9.3385686654941,15.8404536743076,49.3192448719895,29.0735780526114,83.6680553664675,2.57554626240482,-2.73715398277216,0.99955141583109
630,2018,24,4,31,102.99649367511,184.08470648783,613.299064777564,342.748511018011,1098.51138881182,3.08349834778392,-4.30660682538419,0.99955141583109
690,2018,22,2,3,10.4351630491628,18.349527304404,63.8942830770735,36.3146936854772,112.50789560342,3.93639188686781,-7.57578795348778,1
690,2018,22,4,3,9.27257546099975,14.838864674791,46.2642616535511,28.790845596903,74.6637260873113,3.05779603850395,-4.50492661219434,1
690,2018,24,2,2,6.8837187011539,12.0895388292742,41.7441173571475,23.7253925448168,73.6261781178581,4.09880772739067,-8.06275028809952,0.999996018945659
690,2018,24,3,3,9.93867972933013,17.3168623670936,57.3913442376219,32.9334526565864,100.025233537777,2.9249716263277,-3.91783128145174,0.999996018945659
690,2018,24,4,2,7.08107813531239,12.2382687437465,43.3484514959783,25.0725150402245,75.0886092061501,10.9339882360818,-32.5930781432676,0.999996018945659
732,2018,22,1,109,264.406495338744,241.930910967857,597.46216490306,644.530580267706,574.154500535412,3.36776130397244,-5.94978947296271,NA
732,2018,24,1,7,17.6120060352637,17.1290947816029,43.1434932360961,44.3276648013946,42.1211956637227,2.9462646505971,-4.96579086088535,NA
732,2018,25,2,88,219.406838106578,201.264412968584,505.570657498284,548.334388189202,472.002809110612,2.90560453284311,-4.95733057239388,NA
732,2018,26,1,206,480.092045960663,376.136160738174,900.594756200137,1126.12867638618,770.460527664366,3.30796190831575,-5.88344679507317,1
732,2018,26,2,141,341.138805793093,294.720426711089,723.143199509902,828.530516631416,649.785225050484,3.18174762287628,-5.60778126022651,1
732,2018,27,1,43,97.4633814355732,69.5262460035307,162.881911511437,222.459110619648,131.167551054292,3.41671352202406,-6.1274001685949,1
732,2018,27,2,52,120.574140790233,89.2110857582077,212.184823790024,281.185106145449,171.790363367675,3.31801054705533,-5.97798432857534,1
732,2018,28,1,55,127.739097046729,100.912407281761,240.680178100307,298.811927588429,204.52336006844,2.95580729037794,-5.03017721882286,NA
