fao_code;ble_code;ff50;harbour;state
DEBUM;101;DEU-0101;BUESUM;SH_N
DEHUS;102;DEU-0102;HUSUM;SH_N
DEGLU;103;DEU-0103;GLUECKSTADT;SH_N
DELIS;104;DEU-0104;LIST AUF SYLT;SH_N
DETOE;105;DEU-0105;TOENNING;SH_N
DEHGL;106;DEU-0106;HELGOLAND;SH_N
DEFR1;107;DEU-0107;FRIEDRICHSKOOG;SH_N
DEPEL;108;DEU-0108;PELLWORM;SH_N
DESE2;109;DEU-0109;SEESTER;SH_N
DEWYK;110;DEU-0110;WYK AUF FOEHR;SH_N
DEAMY;111;DEU-0111;AMRUM;SH_N
DEEIK;112;DEU-0112;EIDERLOCKSPERRWERK;SH_N
DESCY;113;DEU-0113;SCHLUETTSIEL;SH_N
DEPSH;114;DEU-0114;ST.-PETER-ORDING;SH_N
DEHN1;115;DEU-0115;HENNSTEDT;SH_N
DEBEI;117;DEU-0117;BEIDENFLETH;SH_N
DEKA3;118;DEU-0118;KASENORT;SH_N
DEKOL;119;DEU-0119;KOLLMAR;SH_N
DEUET;120;DEU-0120;UETERSEN;SH_N
DEKZD;121;DEU-0121;KREUZDEICH;SH_N
DEMNK;122;DEU-0122;MUNKMARSCH;SH_N
DEWT1;123;DEU-0123;WITTDUEN;SH_N
DEHGE;124;DEU-0124;HOOGE;SH_N
DEHRM;125;DEU-0125;HOERNUM-SYLT;SH_N
DENOR;126;DEU-0126;NORDSTRAND;SH_N
DEDAG;127;DEU-0127;DAGEBUELL;SH_N
DEBG4;128;DEU-0128;BRUNSBUETTELKOOG;SH_N
DEBKY;129;DEU-0129;BROKDORF;SH_N
DEMEL;130;DEU-0130;MELDORF;SH_N
DENEF;131;DEU-0131;NEUFELD;SH_N
DEBRB;132;DEU-0132;BRUNSBUETTEL;SH_N
DEWEW;133;DEU-0133;WEWELSFLETH;SH_N
DEBL5;134;DEU-0134;BAHRENFLETH;SH_N
DEWED;135;DEU-0135;WEDEL;SH_N
DEITZ;136;DEU-0136;ITZEHOE;SH_N
DENFL;137;DEU-0137;NEUENDORF-FLEIEN;SH_N
DEKLV;138;DEU-0138;KLEVENDEICH;SH_N
DEHQN;139;DEU-0139;HETLINGEN;SH_N
DEBL1;140;DEU-0140;BIELENBERG;SH_N
DEHLO;141;DEU-0141;HASELDORF;SH_N
DEHOD;142;DEU-0142;HOCHDONN;SH_N
DETTU;143;DEU-0143;TETENBUELL;SH_N
DEKEL;201;DEU-0201;KIEL;SH_O
DELSP;202;DEU-0202;LUEBECK-SCHLUTUP;SH_O
DETRV;203;DEU-0203;TRAVEMUENDE;SH_O
DENDC;204;DEU-0204;NIENDORF;SH_O
DENDT;205;DEU-0205;NEUSTADT (HOLSTEIN);SH_O
DEBSK;206;DEU-0206;BURGSTAAKEN;SH_O
DEHHF;207;DEU-0207;HEILIGENHAFEN;SH_O
DEECK;208;DEU-0208;ECKERNFOERDE;SH_O
DEKAP;209;DEU-0209;KAPPELN;SH_O
DEMAO;210;DEU-0210;MAASHOLM;SH_O
DEHFK;211;DEU-0211;HAFFKRUG;SH_O
DELBC;212;DEU-0212;LUEBECK;SH_O
DEFLF;213;DEU-0213;FLENSBURG;SH_O
DEGZZ;214;DEU-0214;GROEMITZ;SH_O
DETMS;215;DEU-0215;TIMMENDORF;SH_O
DEGRO;216;DEU-0216;GROSSENBRODE;SH_O
DESLS;217;DEU-0217;SCHLESWIG;SH_O
DEGTM;218;DEU-0218;LUEBECK-GOTHMUND;SH_O
DEHED;219;DEU-0219;HEIKENDORF;SH_O
DELAB;220;DEU-0220;LABOE;SH_O
DESN2;221;DEU-0221;STEIN;SH_O
DESSG;222;DEU-0222;SCHOENBERGER STRAND;SH_O
DE4AV;223;DEU-0223;ARNIS;SH_O
DEKGA;224;DEU-0224;KRONSGAARD;SH_O
DEWAY;225;DEU-0225;WACKERBALLIG;SH_O
DELGY;227;DEU-0227;LANGBALLIGAU;SH_O
DESIX;228;DEU-0228;SIERKSDORF;SH_O
DEFRO;229;DEU-0229;FRIEDRICHSORT;SH_O
DERDX;230;DEU-0230;RADELAND;SH_O
DEHUC;231;DEU-0231;HUBERTSBERG;SH_O
DEKEY;232;DEU-0232;KETELSBY;SH_O
DEHWC;233;DEU-0233;HOHWACHT;SH_O
DELPP;234;DEU-0234;LIPPE;SH_O
DEORT;235;DEU-0235;ORTH;SH_O
DEWU1;236;DEU-0236;WULFEN;SH_O
DEWML;237;DEU-0237;WESTERMARKELSDORF;SH_O
DESKP;238;DEU-0238;STRUKKAMP;SH_O
DEKEE;239;DEU-0239;KELLENHUSEN;SH_O
DEWEJ;240;DEU-0240;WENDTORF;SH_O
DEDAP;242;DEU-0242;DAMP;SH_O
DEGCK;243;DEU-0243;GLUECKSBURG;SH_O
DEBKJ;244;DEU-0244;BOCKHOLMWIK;SH_O
DENKR;245;DEU-0245;NEUKIRCHEN;SH_O
DESTV;246;DEU-0246;STEINBERGHAFF;SH_O
DEORH;247;DEU-0247;OHRFELDHAFF;SH_O
DEFHO;248;DEU-0248;FALSHOEFT;SH_O
DELIZ;249;DEU-0249;LINDAUNIS;SH_O
DESC6;250;DEU-0250;SCHUBYSTRAND;SH_O
DEDCT;251;DEU-0251;DRECHT;SH_O
DESTD;252;DEU-0252;STRANDE;SH_O
DELHZ;253;DEU-0253;LANGHOLZ;SH_O
DEDHM;254;DEU-0254;DAHME;SH_O
DESUU;255;DEU-0255;SUETEL;SH_O
DEMSY;256;DEU-0256;MEESCHENDORF;SH_O
DEPRS;257;DEU-0257;PRESEN;SH_O
DEPUT;258;DEU-0258;PUTTGARDEN;SH_O
DELMK;259;DEU-0259;LEMKENHAFEN;SH_O
DEB02;260;DEU-0260;BROEK;SH_O
DECUX;301;DEU-0301;CUXHAVEN;NS
DEEME;302;DEU-0302;EMDEN;NS
DESKW;303;DEU-0303;SPIEKA-NEUFELD;NS
DENOE;304;DEU-0304;NORDDEICH;NS
DEWRY;305;DEU-0305;WREMEN;NS
DEDRM;306;DEU-0306;DORUM;NS
DEBMK;307;DEU-0307;BORKUM;NS
DEGRE;308;DEU-0308;GREETSIEL;NS
DENHS;309;DEU-0309;NEUHARLINGERSIEL;NS
DEHOO;310;DEU-0310;HOOKSIEL;NS
DEFES;311;DEU-0311;FEDDERWARDERSIEL;NS
DEVAR;312;DEU-0312;VAREL;NS
DEACC;313;DEU-0313;ACCUMERSIEL;NS
DEHSX;314;DEU-0314;HARLESIEL;NS
DEDIT;315;DEU-0315;DITZUM;NS
DEBKE;316;DEU-0316;BRAKE;NS
DEPGM;317;DEU-0317;POGUM;NS
DEBEN;321;DEU-0321;BENSERSIEL;NS
DEDAN;322;DEU-0322;DANGAST;NS
DEGEV;326;DEU-0326;GEVERSDORF;NS
DEHOS;330;DEU-0330;HORUMERSIEL;NS
DEBRV;402;DEU-0402;BREMERHAVEN;HB
DEHAM;501;DEU-0501;HAMBURG;HH
DERSK;601;DEU-0601;ROSTOCK;MV
DESAS;602;DEU-0602;SASSNITZ;MV
DEWAR;603;DEU-0603;WARNEMUENDE;MV
DEWIS;604;DEU-0604;WISMAR;MV
DESTL;605;DEU-0605;STRALSUND;MV
DEKAJ;606;DEU-0606;KARLSHAGEN;MV
DELAU;607;DEU-0607;LAUTERBACH;MV
DEGRD;608;DEU-0608;GREIFSWALD;MV
DEUCK;609;DEU-0609;UECKERMUENDE;MV
DEBBH;610;DEU-0610;BARTH;MV
DESHY;611;DEU-0611;STAHLBRODE;MV
DETS2;612;DEU-0612;THIESSOW;MV
DEBG8;613;DEU-0613;BREEGE;MV
DEFR2;614;DEU-0614;FREEST;MV
DEGGX;615;DEU-0615;GAGER;MV
DELSA;616;DEU-0616;LASSAN;MV
DEVT2;617;DEU-0617;VITTE;MV
DEAHC;618;DEU-0618;AHLBECK;MV
DEBA4;619;DEU-0619;BANSIN;MV
DEHDF;620;DEU-0620;HERINGSDORF;MV
DEUEC;621;DEU-0621;UECKERITZ;MV
DEKLP;622;DEU-0622;KOELPINSEE;MV
DEKSW;623;DEU-0623;KOSEROW;MV
DEZMP;624;DEU-0624;ZEMPIN;MV
DEZIN;625;DEU-0625;ZINNOWITZ;MV
DETR2;626;DEU-0626;TRASSENHEIDE;MV
DELB2;627;DEU-0627;LOBBE;MV
DEGR1;628;DEU-0628;GOEHREN;MV
DEBZR;629;DEU-0629;BINZ;MV
DEKAV;630;DEU-0630;KAMMINKE;MV
DE8AN;631;DEU-0631;ALTWARP;MV
DEMKB;632;DEU-0632;MOENKEBUDE;MV
DEUSD;633;DEU-0633;USEDOM;MV
DEWOL;634;DEU-0634;WOLGAST;MV
DERKZ;635;DEU-0635;RANKWITZ;MV
DESH2;636;DEU-0636;SCHAPRODE R;MV
DENOZ;637;DEU-0637;NEUENDORF H;MV
DEZUD;638;DEU-0638;ZUDAR;MV
DEUMZ;639;DEU-0639;UMMANZ;MV
DEWIK;640;DEU-0640;WIEK R;MV
DEDRA;641;DEU-0641;DRANSKE R;MV
DEKUH;642;DEU-0642;KUEHLUNGSBORN;MV
DEBG5;643;DEU-0643;BOERGERENDE;MV
DEGMX;644;DEU-0644;GRAAL-MUERITZ;MV
DERZD;645;DEU-0645;RIBNITZ;MV
DEWUS;646;DEU-0646;WUSTROW;MV
DEDIA;647;DEU-0647;DIERHAGEN;MV
DEORD;648;DEU-0648;BORN;MV
DEPRW;649;DEU-0649;PREROW;MV
DEZIS;650;DEU-0650;ZINGST;MV
DERRE;651;DEU-0651;RERIK;MV
DEKDM;652;DEU-0652;KIRCHDORF;MV
DETMD;653;DEU-0653;TIMMENDORF;MV
DETAZ;654;DEU-0654;TARNEWITZ;MV
DEMVD;655;DEU-0655;DASSOW;MV
DELZW;656;DEU-0656;LIETZOW;MV
DEZEQ;657;DEU-0657;ZECHERIN;MV
DERDA;659;DEU-0659;RUDEN;MV
DEKLA;660;DEU-0660;KLOSTER;MV
DEPCE;661;DEU-0661;PRUCHTEN;MV
DEBH7;662;DEU-0662;BARHOEFT;MV
DEKZR;663;DEU-0663;KLEIN-ZICKER;MV
DEGTW;664;DEU-0664;GRISTOW;MV
DEWDY;665;DEU-0665;WIEK-DARSS;MV
DEWAZ;666;DEU-0666;WAASE;MV
DEWT4;667;DEU-0667;WITTOW;MV
DEGLY;668;DEU-0668;GLOWE;MV
DENEK;669;DEU-0669;NEUENKIRCHEN;MV
DEVIA;670;DEU-0670;VITT-ARKONA;MV
DESDY;671;DEU-0671;SEEDORF;MV
DEKSL;672;DEU-0672;KROESLIN;MV
DEBA2;673;DEU-0673;BAABE;MV
DENMK;674;DEU-0674;NEU MUKRAN;MV
DENRZ;675;DEU-0675;NEU REDDEVITZ;MV
DEWRJ;676;DEU-0676;WARTHE;MV
DEAAN;677;DEU-0677;AHRENSHOOP-ALTHAGEN;MV
DE7B6;678;DEU-0678;BOIENSDORF;MV
DERDI;679;DEU-0679;REDENTIN;MV
DEPEF;680;DEU-0680;PEENEMUENDE;MV
DE5B6;681;DEU-0681;BODSTEDT;MV
DEGZR;682;DEU-0682;GROSS-ZICKER;MV
DKAAR;2001;;AARHUS;
DKEBJ;2002;;ESBJERG;
DKFDH;2003;;FREDERIKSHAVN;
DKCPH;2004;;KOPENHAGEN;
DKKOG;2005;DNK-2005;KOEGE;
DKNAK;2006;;NAKSKOV;
DKRNN;2007;DNK-2007;ROENNE;
DKSKA;2008;DNK-2008;SKAGEN;
DKHAN;2009;DNK-2009;HANSTHOLM;
DKGRE;2011;DNK-2011;GRENAA;
DKGED;2012;DNK-2012;GEDSER;
DKNEX;2013;DNK-2013;NEXOE;
DKHNB;2014;;HAVNEBY;
DKTHN;2015;DNK-2015;THYBOROEN;
DKGDM;2016;;GUDHJEM;
DKROF;2017;DNK-2017;ROEDBY;
DKKLH;2018;DNK-2018;KLINTHOLM;
DKGLE;2019;;GILLELEJE;
DKTEJ;2020;DNK-2020;TEJN;
DKQSB;2021;;OESTERBY;
DKANH;2022;;ANHOLT;
DKHIR;2023;;HIRTSHALS;
DKBAG;2024;;BAGENKOP;
DKHHV;2025;;HAMMERHAVNEN;
DKRQD;2026;DNK-2026;ROEDVIG;
DKSGD;2027;;SONDERBURG;
DKHAS;2028;;HALS;
DKHUN;2029;;HUNDESTEDT;
DKHSL;2030;;HASLE;
DKHVS;2031;;HVIDE-SANDE;
DKSTQ;2033;;STRANDBY;
DKAAB;2035;;ABENRA (ABENRADE);
DKLVG;2036;;LEMVIG;
DKBNP;2039;DNK-2039;BOENNERUP;
DKSBK;2040;DNK-2040;STUBBEKOEBING;
DKKTD;2041;DNK-2041;KERTEMINDE;
DKOMO;2042;DNK-2042;OMOE;
DKLUN;2043;DNK-2043;LUNDBORG;
DKFAB;2044;DNK-2044;FAABORG;
NLLAN;2101;;LOUWERSOOG;
NLDZL;2102;;DELFZIJL;
NLHAR;2103;;HARLINGEN;
NLDHR;2104;;DEN HELDER;
NLIJM;2105;;IJMUIDEN;
NLLMR;2106;;LEMMER;
NLSCI;2107;;SCHIEDAM;
NLTEX;2109;;TEXEL;
NLURK;2110;;URK;
NLVLI;2111;;VLISSINGEN;
NLZWO;2112;;ZWOLLE;
NLWRG;2113;;DEN OEVER;
NLSCE;2114;;SCHEVENINGEN;
NLBRS;2115;;BRESKENS;
NLEEM;2116;;EEMSHAVEN;
NLSTD;2117;;STELLENDAM;
NLRTM;2118;;ROTTERDAM;
NLAMS;2119;;AMSTERDAM;
NLBEV;2120;;BEWERWIJK;
NLYSK;2121;;YERSEKE;
NLVEL;2122;;VELSEN;
NLZOT;2123;;ZOUTKAMP;
GBABD;2201;;ABERDEEN;
GBGSY;2202;;GRIMSBY;
GBHUL;2203;;HULL;
GBKWL;2204;;KIRKWALL;
GBLER;2205;;LERWECK;
GBWIC;2206;;WICK;
GBPHD;2207;;PETERHEAD;
GBSTO;2209;;STORNAWAY;
GBBEL;2210;;BELFAST;
GBAYR;2211;;AYR;
GBSCR;2212;;SCRABSTER;
GBFRB;2213;;FRASERBURGH;
GBWOR;2214;;WORKINGTON;
GBGAR;2215;;GAIRLOCH;
GBLOV;2216;;LOCHINVER;
GBSWY;2217;;SCALLOWAY;
GBMLF;2218;;MILFORD;
GBIVG;2219;;INVERGORDON;
GBTRN;2220;;TROON;
GBWHY;2221;;WHALSAY;
GBHTP;2222;;HARTLEPOOL;
GBNSH;2223;;NORTH SHIELDS;
GBCAF;2224;;COLLAFITH;
GBLOW;2225;;LOWESTOFT;
FRBOL;2301;;BOULOGNE SUR MER;
FRLRT;2302;;LORIENT;
IEKBS;2401;;KILLEBEGS;
IECSW;2402;;CASTLETOWNBERE;
IEDIN;2404;;DINGLE;
ESVGO;2602;;VIGO;
ESVLC;2605;;VALENTIA;
ESSAD;2606;;SADA;
ESMPG;2607;;MARIN;
ESCEL;2608;;CELEIRO;
ESCNO;2609;;CARINO;
IEFEN;2610;;FENIT;
NOSVG;3102;;STAVANGER;
NOEGE;3103;;EGERSUND;
NOHRD;3104;;HARSTAD;
NOMEL;3105;;MELBU;
NOTOS;3106;;TROMSOE;
NOSVJ;3107;;SVOLVAER;
NOASV;3108;;AUSTEVOLL;
NOMAY;3109;;MALOEY;
NOSLX;3110;;SORTLAND;
NOALF;3111;;ALTA;
NOBGO;3112;;BERGEN;
NOKMY;3114;;KARMOY;
NOSLH;3115;;SALTHELLA;
NORUB;3116;;RUBBESTADNESET;
DKSKU;3117;;SKUDENESHAVN;
NOAES;3118;;ALESUND;
NOHFT;3120;;HAMMERFEST;
SEVBY;3201;;VISBY (GOTLAND);
SERNH;3202;;RONEHAMM (GOTLAND);
SETRG;3203;SWE-3203;TRELLEBORG;
SEYST;3205;SWE-3205;YSTAD;
SEGNG;3206;;GROENHOEGEN;
SEKAN;3207;;KARLSHAMN;
SESIM;3208;SWE-3208;SIMRISHAMM;
SEVVK;3210;SWE-3210;VAESTERVIK;
SEDON;3212;;DONSOE;
SEKAA;3213;SWE-3213;KARLSKRONA;
SEFIS;3214;;FISKEBOECK;
SEHNO;3215;;HOENO;
SEOXE;3216;;OXELOESUND;
SEAHO;3217;;AENGHOMEN;
SESLI;3218;;SLITE;
SETRE;3220;;TRAESLOEVSLAEGE;
SEELO;3221;;ELLOES;
GLGOH;3301;;NUUK;
ISREY;3401;;REYKJAVIK;
ISHAF;3402;;HAFNARFJOERDUR;
ISAKU;3403;;AKUREYRI;
ISSAU;3404;;SAUOARKROKUR;
ISISA;3405;;ISARFJOERDUR;
ISKEF;3406;;KEFLAOIK;
ISGRF;3407;;GRUNDARFJOERDUR;
ISTHH;3408;;THORLAKSHAVN;
ISHEL;3409;;HELGUVIK;
ISESK;3410;;ESKIFJOERDUR;
ISSEY;3411;;SEYDISFJOERDUR;
ISDAL;3412;;DALVIK;
ISNES;3414;;NESKAUPSTARDUR;
CANWP;3501;;ARGENTIA;
FOFAE;3600;;FAEROEER;
FOTHO;3601;;THORSHAVN;
FOSTR;3602;;STRENDUR;
FOKVI;3604;;KLAKSVIK;
FOVES;3605;;VESTMANHAVN;
FORVK;3607;;RUNAVIK;
FOTOF;3608;;TOFTIR;
SEGOA;3611;;GOETA;
FOTVO;3612;;TVOEROYRI;
FOFUG;3613;;FUGLEFJORD;
PLSWI;3701;;SVINOUJSCIE;
PLSZZ;3702;;STETTIN;
PLDAR;3703;POL-3703;DARLOWO;
PLWLA;3704;POL-3704;WLADYSLAWOWO;
PLUST;3705;;USTKA;
PLTBZ;3706;POL-3706;TRZEBIEZ (ZIEGENORT);
PLNWA;3707;POL-3707;NOWE WARPNO;
PLKOL;3708;POL-3708;KOLOBRZEG;
BEOST;2501;BEL-OOS;OOSTENDE;
DESCB;241;DEU-0241;SCHOENBERG;SH_O
SEHEL;3209;SWE-3209;HELSINGBORG;
SERNG;3219;SWE-3219;ROENNAENG;
DKROM;2034;DNK-2034;ROEMOE;
DENRD;332;DEU-0332;NORDERNEY;NS
DKTMD;2032;DNK-2032;THORSMINDE;
GBSCR;2603;UK-2603;SCRABSTER;
PE999;5303;PE-999;PERU (undef);
DK999;2010;DK-999;DAENEMARK (undef);
DEDNS;324;DEU-0324;DORNUMERSIEL;NS
DEWVN;333;DEU-0333;WILHELMSHAVEN;NS
NLLAN;500;NLD-LO;LAUWERSOOG;
GBCOW;658;UK-0658;COWES;
NL999;2100;NL-999;NIEDERLANDE (undef);
IESKE;2208;GBR-2208;SKERRIES;
SEOCO;3211;SWE-3211;OECKEROE;
DEGSS;328;DEU-0328;GROSSAUHEIM;NS
DE64V;NULL;;Haffkrug;SH_O
DE64Z;NULL;;Niendorf Ostsee;SH_O
DEHUV;NULL;;HUBERTSBERG;SH_O
DEDHI;NULL;;DAHME;SH_O
DEWAV;NULL;;WACKERBALLIG;SH_O
DEFRJ;NULL;;FREEST;MV
DESNQ;NULL;;STEIN, PLÃ–N;SH_O
DEKU3;NULL;;KUEHLUNGSBORN;MV
DEREQ;NULL;;BREEGE;MV
DEWD5;NULL;;WIECK AUF DEM DARSS;MV
DEB99;NULL;;BOCKHOLMWIK;SH_O
DEWUO;NULL;;WUSTROW;MV
DENHO;NULL;;NEUSTADT, HOLSTEIN;SH_O
DELPA;NULL;;LIPPE;SH_O
DEGXG;NULL;;GAGER;MV
DEORV;NULL;;OHRFELDHAFF;SH_O
DEGEL;NULL;;GELTING;SH_O
DESBJ;NULL;;STEINBERGHAFF;SH_O
PLHEL;NULL;;HEL;
DE64R;NULL;;SIERKSDORF;SH_O
DE73B;NULL;;BOERGERENDE;MV
DELAK;NULL;;LAUTERBACH, RUEGEN;MV
DESYR;NULL;;SCHUBYSTRAND;SH_O
DEKLY;NULL;;KLOSTER;MV
DE63V;NULL;;KELLENHUSEN;SH_O
DEGZ4;NULL;;GROSS ZICKER;MV
DEGEM;NULL;;GEMUENDEN;MV
DEKOC;NULL;;KOELPINSEE;MV
