we_index;ha_index;species;aphiaid;latin_name;catch_category;total_weight;total_numbers;subsample_weight;subsample_numbers;number_measured;weight_unit;length_unit;comments
1;1;293;;;D;0,1;1;0,1;1;1;;cm below;
2;1;407;;;D;62,5;661;3,5;37;37;;cm below;
3;1;479;;;D;0;0;0;0;0;;cm below;
4;1;604;;;D;8,75;53;1;6;6;;cm below;
5;1;607;;;D;80,357;714;9;80;80;;cm below;
6;1;630;;;D;0,3;1;0,3;1;1;;cm below;
7;1;716;;;D;0;0;0;0;0;;cm below;
8;1;293;;;D;0,5;1;0,5;1;1;;cm below;
9;1;407;;;D;48,125;605;3,5;44;44;;cm below;
10;1;479;;;D;0;0;0;0;0;;cm below;
11;1;604;;;D;1,406;14;0,1;1;1;;cm below;
12;1;607;;;D;87,09;707;8,5;69;69;;cm below;
13;1;630;;;D;0;0;0;0;0;;cm below;
14;1;690;;;D;0;0;0;0;0;;cm below;
15;1;716;;;D;0;0;0;0;0;;cm below;
16;1;293;;;D;0,1;1;0,1;1;1;;cm below;
17;1;407;;;D;62,5;661;3,5;37;37;;cm below;
18;1;479;;;D;0;0;0;0;0;;cm below;
19;1;604;;;D;8,75;53;1;6;6;;cm below;
20;1;607;;;D;80,357;714;9;80;80;;cm below;
21;1;630;;;D;0,3;1;0,3;1;1;;cm below;
22;1;716;;;D;0;0;0;0;0;;cm below;
23;1;293;;;D;0,5;1;0,5;1;1;;cm below;
24;1;407;;;D;48,125;605;3,5;44;44;;cm below;
25;1;479;;;D;0;0;0;0;0;;cm below;
26;1;604;;;D;1,406;14;0,1;1;1;;cm below;
27;1;607;;;D;87,09;707;8,5;69;69;;cm below;
28;1;630;;;D;0;0;0;0;0;;cm below;
29;1;690;;;D;0;0;0;0;0;;cm below;
30;1;716;;;D;0;0;0;0;0;;cm below;
31;3;181;;;D;0,256;3;0,077;1;1;;scm below;
32;3;293;;;D;19,107;77;5,742;23;23;;cm below;
33;3;589;;;D;0,383;3;0,115;1;1;;cm below;
34;3;604;;;D;8,688;55;9,453;60;60;;cm below;
35;3;630;;;D;33,615;146;10,102;44;44;;cm below;
36;3;683;;;D;1,201;3;0,361;1;1;;cm below;
37;3;690;;;D;1,341;7;0,403;2;2;;cm below;
38;3;181;;;D;0,256;3;0,077;1;1;;scm below;
39;3;293;;;D;19,107;77;5,742;23;23;;cm below;
40;3;589;;;D;0,383;3;0,115;1;1;;cm below;
41;3;604;;;D;8,688;55;9,453;60;60;;cm below;
42;3;630;;;D;33,615;146;10,102;44;44;;cm below;
43;3;683;;;D;1,201;3;0,361;1;1;;cm below;
44;3;690;;;D;1,341;7;0,403;2;2;;cm below;
45;4;293;;;D;0,1;1;0,1;1;1;;cm below;
46;4;407;;;D;62,5;661;3,5;37;37;;cm below;
47;4;479;;;D;0;0;0;0;0;;cm below;
48;4;604;;;D;8,75;53;1;6;6;;cm below;
49;4;607;;;D;80,357;714;9;80;80;;cm below;
50;4;630;;;D;0,3;1;0,3;1;1;;cm below;
51;4;716;;;D;0;0;0;0;0;;cm below;
52;4;293;;;D;0,5;1;0,5;1;1;;cm below;
53;4;407;;;D;48,125;605;3,5;44;44;;cm below;
54;4;479;;;D;0;0;0;0;0;;cm below;
55;4;604;;;D;1,406;14;0,1;1;1;;cm below;
56;4;607;;;D;87,09;707;8,5;69;69;;cm below;
57;4;630;;;D;0;0;0;0;0;;cm below;
58;4;690;;;D;0;0;0;0;0;;cm below;
59;4;716;;;D;0;0;0;0;0;;cm below;
60;4;293;;;D;0,1;1;0,1;1;1;;cm below;
61;4;407;;;D;62,5;661;3,5;37;37;;cm below;
62;4;479;;;D;0;0;0;0;0;;cm below;
63;4;604;;;D;8,75;53;1;6;6;;cm below;
64;4;607;;;D;80,357;714;9;80;80;;cm below;
65;4;630;;;D;0,3;1;0,3;1;1;;cm below;
66;4;716;;;D;0;0;0;0;0;;cm below;
67;4;293;;;D;0,5;1;0,5;1;1;;cm below;
68;4;407;;;D;48,125;605;3,5;44;44;;cm below;
69;4;479;;;D;0;0;0;0;0;;cm below;
70;4;604;;;D;1,406;14;0,1;1;1;;cm below;
71;4;607;;;D;87,09;707;8,5;69;69;;cm below;
72;4;630;;;D;0;0;0;0;0;;cm below;
73;4;690;;;D;0;0;0;0;0;;cm below;
74;4;716;;;D;0;0;0;0;0;;cm below;
75;6;181;;;D;0,256;3;0,077;1;1;;scm below;
76;6;293;;;D;19,107;77;5,742;23;23;;cm below;
77;6;589;;;D;0,383;3;0,115;1;1;;cm below;
78;6;604;;;D;8,688;55;9,453;60;60;;cm below;
79;6;630;;;D;33,615;146;10,102;44;44;;cm below;
80;6;683;;;D;1,201;3;0,361;1;1;;cm below;
81;6;690;;;D;1,341;7;0,403;2;2;;cm below;
82;6;181;;;D;0,256;3;0,077;1;1;;scm below;
83;6;293;;;D;19,107;77;5,742;23;23;;cm below;
84;6;589;;;D;0,383;3;0,115;1;1;;cm below;
85;6;604;;;D;8,688;55;9,453;60;60;;cm below;
86;6;630;;;D;33,615;146;10,102;44;44;;cm below;
87;6;683;;;D;1,201;3;0,361;1;1;;cm below;
88;6;690;;;D;1,341;7;0,403;2;2;;cm below;
89;7;604;;;D;7,3;40;7,3;40;40;;cm below;
90;7;630;;;D;0,5;3;0,5;3;3;;cm below;
91;7;683;;;D;0,5;1;0,5;1;1;;cm below;
92;7;690;;;D;0,3;1;0,3;1;1;;cm below;
93;7;740;;;D;0,16;1;0,16;1;1;;cm below;
94;7;604;;;D;13;72;13;72;72;;cm below;
95;7;630;;;D;0,5;3;0,5;3;3;;cm below;
96;7;293;;;D;2,9;4;2,9;4;4;;cm below;
97;7;589;;;D;0,12;1;0,12;1;1;;cm below;
98;7;604;;;D;20,8;116;20,8;116;116;;cm below;
99;7;630;;;D;8,1;36;8,1;36;36;;cm below;
100;7;690;;;D;0,55;3;0,55;3;3;;cm below;
101;7;293;;;D;0,5;1;0,5;1;1;;cm below;
102;7;604;;;D;14,2;79;14,2;79;79;;cm below;
103;7;630;;;D;4,3;18;4,3;18;18;;cm below;
104;7;690;;;D;0,5;2;0,5;2;2;;cm below;
105;7;293;;;D;7,3;10;7,3;10;10;;cm below;
106;7;604;;;D;32,4;179;32,4;179;179;;cm below;
107;7;630;;;D;17,6;69;17,6;69;69;;cm below;
108;7;690;;;D;0,5;2;0,5;2;2;;cm below;
109;7;604;;;D;32,2;179;32,2;179;179;;cm below;
110;7;630;;;D;4,5;21;4,5;21;21;;cm below;
111;7;690;;;D;0,3;1;0,3;1;1;;cm below;
112;7;604;;;D;7,3;40;7,3;40;40;;cm below;
113;7;630;;;D;0,5;3;0,5;3;3;;cm below;
114;7;683;;;D;0,5;1;0,5;1;1;;cm below;
115;7;690;;;D;0,3;1;0,3;1;1;;cm below;
116;7;740;;;D;0,16;1;0,16;1;1;;cm below;
117;7;604;;;D;13;72;13;72;72;;cm below;
118;7;630;;;D;0,5;3;0,5;3;3;;cm below;
119;7;293;;;D;2,9;4;2,9;4;4;;cm below;
120;7;589;;;D;0,12;1;0,12;1;1;;cm below;
121;7;604;;;D;20,8;116;20,8;116;116;;cm below;
122;7;630;;;D;8,1;36;8,1;36;36;;cm below;
123;7;690;;;D;0,55;3;0,55;3;3;;cm below;
124;7;293;;;D;0,5;1;0,5;1;1;;cm below;
125;7;604;;;D;14,2;79;14,2;79;79;;cm below;
126;7;630;;;D;4,3;18;4,3;18;18;;cm below;
127;7;690;;;D;0,5;2;0,5;2;2;;cm below;
128;7;293;;;D;7,3;10;7,3;10;10;;cm below;
129;7;604;;;D;32,4;179;32,4;179;179;;cm below;
130;7;630;;;D;17,6;69;17,6;69;69;;cm below;
131;7;690;;;D;0,5;2;0,5;2;2;;cm below;
132;7;604;;;D;32,2;179;32,2;179;179;;cm below;
133;7;630;;;D;4,5;21;4,5;21;21;;cm below;
134;7;690;;;D;0,3;1;0,3;1;1;;cm below;
135;13;293;;;D;0;0;0;0;0;;cm below;
136;13;407;;;D;0,086;1;0,137;1;1;;cm below;
137;13;604;;;D;2,425;15;2,561;16;16;;cm below;
138;13;607;;;D;0,142;1;0,18;1;1;;cm below;
139;13;630;;;D;2,288;6;2,288;6;6;;cm below;
140;13;293;;;D;0;0;0;0;0;;cm below;
141;13;407;;;D;0,086;1;0,137;1;1;;cm below;
142;13;604;;;D;2,425;15;2,561;16;16;;cm below;
143;13;607;;;D;0,142;1;0,18;1;1;;cm below;
144;13;630;;;D;2,288;6;2,288;6;6;;cm below;
145;14;293;;;D;25;0;0;0;0;;cm below;
146;14;604;;;D;0;0;0;0;0;;cm below;
147;14;293;;;D;25;0;0;0;0;;cm below;
148;14;604;;;D;0;0;0;0;0;;cm below;
149;15;293;;;D;0,275;1;0,275;1;1;;cm below;
150;15;407;;;D;43,897;355;4,457;36;36;;cm below;
151;15;468;;;D;0,116;3;0,116;3;3;;cm below;
152;15;604;;;D;0,968;6;0,153;1;1;;cm below;
153;15;607;;;D;0,738;6;11,662;88;88;;cm below;
154;15;690;;;D;1,737;16;0,215;2;2;;cm below;
155;15;716;;;D;0;0;0;0;0;;cm below;
156;15;293;;;D;0,275;1;0,275;1;1;;cm below;
157;15;407;;;D;43,897;355;4,457;36;36;;cm below;
158;15;468;;;D;0,116;3;0,116;3;3;;cm below;
159;15;604;;;D;0,968;6;0,153;1;1;;cm below;
160;15;607;;;D;0,738;6;11,662;88;88;;cm below;
161;15;690;;;D;1,737;16;0,215;2;2;;cm below;
162;15;716;;;D;0;0;0;0;0;;cm below;
163;16;181;;;D;0;0;0;0;0;;scm below;
164;16;181;;;D;0;0;0;0;0;;scm below;
165;17;181;;;D;0;0;0;0;0;;scm below;
166;17;181;;;D;0;0;0;0;0;;scm below;
167;18;407;;;D;30;285;34,627;329;329;;cm below;
168;18;468;;;D;6,418;36;1,077;6;6;;cm below;
169;18;604;;;D;3;18;3;18;18;;cm below;
170;18;607;;;D;15;105;15,828;111;111;;cm below;
171;18;407;;;D;30;285;34,627;329;329;;cm below;
172;18;468;;;D;6,418;36;1,077;6;6;;cm below;
173;18;604;;;D;3;18;3;18;18;;cm below;
174;18;607;;;D;15;105;15,828;111;111;;cm below;
175;19;293;;;D;200;528;26,115;69;69;;cm below;
176;19;604;;;D;72,512;674;23,785;221;221;;cm below;
177;19;293;;;D;200;528;26,115;69;69;;cm below;
178;19;604;;;D;72,512;674;23,785;221;221;;cm below;
179;20;293;;;D;72,153;214;15,543;46;46;;cm below;
180;20;407;;;D;36,714;267;3,712;27;27;;cm below;
181;20;468;;;D;44,221;214;9,526;46;46;;cm below;
182;20;604;;;D;1,131;7;0,16;1;1;;cm below;
183;20;607;;;D;91,464;654;15,381;110;110;;cm below;
184;20;293;;;D;72,153;214;15,543;46;46;;cm below;
185;20;407;;;D;36,714;267;3,712;27;27;;cm below;
186;20;468;;;D;44,221;214;9,526;46;46;;cm below;
187;20;604;;;D;1,131;7;0,16;1;1;;cm below;
188;20;607;;;D;91,464;654;15,381;110;110;;cm below;
189;21;293;;;D;3000;2891;392,28;378;378;;cm below;
190;21;604;;;D;7,12;46;0,931;6;6;;cm below;
191;21;607;;;D;4,13;23;0,54;3;3;;cm below;
192;21;630;;;D;57,495;161;7,518;21;21;;cm below;
193;21;293;;;D;3000;2891;392,28;378;378;;cm below;
194;21;604;;;D;7,12;46;0,931;6;6;;cm below;
195;21;607;;;D;4,13;23;0,54;3;3;;cm below;
196;21;630;;;D;57,495;161;7,518;21;21;;cm below;
197;22;293;;;D;4,288;12;4,258;12;12;;cm below;
198;22;407;;;D;26,501;183;6,357;44;44;;cm below;
199;22;468;;;D;0,425;2;0,422;2;2;;cm below;
200;22;604;;;D;2,59;19;0,54;4;4;;cm below;
201;22;607;;;D;96,702;680;17,786;125;125;;cm below;
202;22;630;;;D;0,405;1;0,402;1;1;;cm below;
203;22;293;;;D;4,288;12;4,258;12;12;;cm below;
204;22;407;;;D;26,501;183;6,357;44;44;;cm below;
205;22;468;;;D;0,425;2;0,422;2;2;;cm below;
206;22;604;;;D;2,59;19;0,54;4;4;;cm below;
207;22;607;;;D;96,702;680;17,786;125;125;;cm below;
208;22;630;;;D;0,405;1;0,402;1;1;;cm below;
209;23;293;;;D;0;0;0;0;0;;cm below;
210;23;407;;;D;0;0;0;0;0;;cm below;
211;23;468;;;D;0;0;0;0;0;;cm below;
212;23;604;;;D;0;0;0;0;0;;cm below;
213;23;607;;;D;0;0;0;0;0;;cm below;
214;23;716;;;D;0;0;0;0;0;;cm below;
215;23;293;;;D;0;0;0;0;0;;cm below;
216;23;407;;;D;0;0;0;0;0;;cm below;
217;23;604;;;D;0;0;0;0;0;;cm below;
218;23;607;;;D;0;0;0;0;0;;cm below;
219;23;630;;;D;0;0;0;0;0;;cm below;
220;23;716;;;D;0;0;0;0;0;;cm below;
221;23;293;;;D;0;0;0;0;0;;cm below;
222;23;407;;;D;0;0;0;0;0;;cm below;
223;23;607;;;D;0;0;0;0;0;;cm below;
224;23;293;;;D;0;0;0;0;0;;cm below;
225;23;407;;;D;0;0;0;0;0;;cm below;
226;23;468;;;D;0;0;0;0;0;;cm below;
227;23;604;;;D;0;0;0;0;0;;cm below;
228;23;607;;;D;0;0;0;0;0;;cm below;
229;23;716;;;D;0;0;0;0;0;;cm below;
230;23;293;;;D;0;0;0;0;0;;cm below;
231;23;407;;;D;0;0;0;0;0;;cm below;
232;23;604;;;D;0;0;0;0;0;;cm below;
233;23;607;;;D;0;0;0;0;0;;cm below;
234;23;630;;;D;0;0;0;0;0;;cm below;
235;23;716;;;D;0;0;0;0;0;;cm below;
236;23;293;;;D;0;0;0;0;0;;cm below;
237;23;407;;;D;0;0;0;0;0;;cm below;
238;23;607;;;D;0;0;0;0;0;;cm below;
239;26;101;;;D;0;0;0;0;0;;cm below;
240;26;293;;;D;0;0;0;0;0;;cm below;
241;26;407;;;D;0;0;0;0;0;;cm below;
242;26;468;;;D;1;10;1;10;10;;cm below;
243;26;604;;;D;3,5;19;3,5;19;19;;cm below;
244;26;607;;;D;0,8;12;0,8;12;12;;cm below;
245;26;611;;;D;0;0;0;0;0;;cm below;
246;26;630;;;D;0,6;2;0,6;2;2;;cm below;
247;26;683;;;D;0;0;0;0;0;;cm below;
248;26;690;;;D;0;0;0;0;0;;cm below;
249;26;772;;;D;0,3;1;0,3;1;1;;cm below;
250;26;293;;;D;0;0;0;0;0;;cm below;
251;26;407;;;D;0;0;0;0;0;;cm below;
252;26;468;;;D;1,5;13;1,5;13;13;;cm below;
253;26;604;;;D;1;2;1;2;2;;cm below;
254;26;607;;;D;0;0;0;0;0;;cm below;
255;26;630;;;D;0;0;0;0;0;;cm below;
256;26;690;;;D;0;0;0;0;0;;cm below;
257;26;101;;;D;0;0;0;0;0;;cm below;
258;26;293;;;D;0;0;0;0;0;;cm below;
259;26;407;;;D;0;0;0;0;0;;cm below;
260;26;468;;;D;1;10;1;10;10;;cm below;
261;26;604;;;D;3,5;19;3,5;19;19;;cm below;
262;26;607;;;D;0,8;12;0,8;12;12;;cm below;
263;26;611;;;D;0;0;0;0;0;;cm below;
264;26;630;;;D;0,6;2;0,6;2;2;;cm below;
265;26;683;;;D;0;0;0;0;0;;cm below;
266;26;690;;;D;0;0;0;0;0;;cm below;
267;26;772;;;D;0,3;1;0,3;1;1;;cm below;
268;26;293;;;D;0;0;0;0;0;;cm below;
269;26;407;;;D;0;0;0;0;0;;cm below;
270;26;468;;;D;1,5;13;1,5;13;13;;cm below;
271;26;604;;;D;1;2;1;2;2;;cm below;
272;26;607;;;D;0;0;0;0;0;;cm below;
273;26;630;;;D;0;0;0;0;0;;cm below;
274;26;690;;;D;0;0;0;0;0;;cm below;
