tr_index;year;trip_number;eunr;vessel_name;vessel_sign;start_date;end_date;start_loc;end_loc;observer;trip_valid;trip_type
1;2018;40329;DEU000010001;vessel1;fkz1;2018-09-10;2018-09-11;DEHAR8;DEHAR8;HGH;t;
2;2018;40314;DEU000010002;vessel2;fkz2;2018-04-25;2018-04-25;DEHAR5;DEHAR5; DE;t;
3;2018;40333;DEU000010002;vessel2;fkz2;2018-10-19;2018-10-19;DEHAR5;DEHAR5;HGH;t;
4;2019;40819;DEU000010002;vessel2;fkz2;2019-11-25;2019-11-26;DEHER;DEHER;HER;t;
5;2018;41405;DEU000010002;vessel2;fkz2;2018-03-12;2018-03-13;DEHAR19;DEHAR19;MUK;t;
6;2017;41408;DEU000010002;vessel2;fkz2;2017-03-27;2017-03-28;DEHAR19;DEHAR19;MUK;t;
7;2019;41408;DEU000010002;vessel2;fkz2;2019-11-25;2019-11-26;DEHAR19;DEHAR19;HGH;t;
8;2019;41410;DEU000010002;vessel2;fkz2;2019-12-11;2019-12-12;DEHAR19;DEHAR19;HGH;t;
9;2017;41412;DEU000010002;vessel2;fkz2;2017-11-07;2017-11-08;DEHAR19;DEHAR19;MUK;t;
10;2019;41412;DEU000010002;vessel2;fkz2;2019-12-16;2019-12-17;DEHAR19;DEHAR19;HGH;t;
11;2017;41418;DEU000010002;vessel2;fkz2;2017-11-29;2017-11-30;DEHAR19;DEHAR19;MUK;t;
12;2019;40333;DEU000010003;vessel3;fkz3;2019-10-22;2019-10-23;DEHAR7;DEHAR7;HGH;t;
13;2019;40613;DEU000010003;vessel3;fkz3;2019-10-08;2019-10-08;DEHAR22;DEHAR22;CNR;t;
14;2018;40607;DEU000010004;vessel4;fkz4;2018-11-02;2018-11-02;DEHAR5;DEHAR5;CNR;t;
15;2018;40809;DEU000010004;vessel4;fkz4;2018-03-12;2018-03-13;DEHER;DEHER;HER;t;
16;2017;40809;DEU000010005;vessel5;fkz5;2017-03-19;2017-03-20;DEHER;DEHER;HER;t;
17;2019;40809;DEU000010005;vessel5;fkz5;2019-03-10;2019-03-11;DEHER;DEHER;HER;t;
18;2018;40810;DEU000010005;vessel5;fkz5;2018-03-25;2018-03-26;DEHER;DEHER;HER;t;
19;2019;40813;DEU000010005;vessel5;fkz5;2019-03-24;2019-03-25;DEHER;DEHER;HER;t;
20;2017;40814;DEU000010005;vessel5;fkz5;2017-04-02;2017-04-03;DEHER;DEHER;HER;t;
21;2017;40315;DEU000010006;vessel6;fkz6;2017-05-21;2017-05-22;DEHAR7;DEHAR7;DEM;t;
22;2019;40319;DEU000010006;vessel6;fkz6;2019-06-18;2019-06-19;DEHAR7;DEHAR7;HGH;t;
23;2019;40334;DEU000010006;vessel6;fkz6;2019-11-06;2019-11-06;DEHAR7;DEHAR7;HGH;t;
24;2019;40604;DEU000010006;vessel6;fkz6;2019-06-04;2019-06-04;DEHAR7;DEHAR7;CNR;t;
25;2017;40613;DEU000010006;vessel6;fkz6;2017-04-10;2017-04-10;DEHAR7;DEHAR7;HGM;t;
26;2019;40810;DEU000010007;vessel7;fkz7;2019-03-10;2019-03-11;DEHER;DEHER;HER;t;
27;2017;40817;DEU000010007;vessel7;fkz7;2017-04-02;2017-04-03;DEHER;DEHER;HER;t;
28;2018;40817;DEU000010007;vessel7;fkz7;2018-04-08;2018-04-09;DEHER;DEHER;HER;t;
29;2017;40819;DEU000010007;vessel7;fkz7;2017-04-24;2017-04-25;DEHER;DEHER;HER;t;
30;2018;20304;DEU000010008;vessel8;fkz8;2018-01-17;2018-01-17;DEHAR17;DEHAR17;DEM;t;
31;2018;20334;DEU000010008;vessel8;fkz8;2018-10-26;2018-10-26;DEHAR17;DEHAR17;HGH;t;
32;2019;20405;DEU000010008;vessel8;fkz8;2019-02-28;2019-02-28;DEHAR17;DEHAR17;JNK;t;
33;2017;20801;DEU000010008;vessel8;fkz8;2017-02-13;2017-02-14;DEHER;DEHER;HER;t;
34;2018;20901;DEU000010008;vessel8;fkz8;2018-02-19;2018-02-19;DESPR;DESPR;SPR;t;
35;2018;20902;DEU000010008;vessel8;fkz8;2018-03-07;2018-03-07;DESPR;DESPR;SPR;t;
36;2017;40617;DEU000010009;vessel9;fkz9;2017-07-12;2017-07-12;DEHAR24;DEHAR24;HGM;t;
37;2017;40618;DEU000010009;vessel9;fkz9;2017-07-19;2017-07-19;DEHAR24;DEHAR24;DEM;t;
38;2019;40804;DEU000010010;vessel10;fkz10;2019-02-18;2019-02-18;DEHER;DEHER;HER;t;
39;2018;40808;DEU000010010;vessel10;fkz10;2018-03-12;2018-03-12;DEHER;DEHER;HER;t;
40;2018;41404;DEU000010010;vessel10;fkz10;2018-03-12;2018-03-12;DEHAR19;DEHAR19;MUK;t;
41;2019;41404;DEU000010010;vessel10;fkz10;2019-02-18;2019-02-18;DEHAR19;DEHAR19;HGH;t;
42;2017;41417;DEU000010010;vessel10;fkz10;2017-11-29;2017-11-29;DEHAR19;DEHAR19;MUK;t;
43;2017;41423;DEU000010010;vessel10;fkz10;2017-12-11;2017-12-11;DEHAR19;DEHAR19;MUK;t;
44;2019;40802;DEU000010011;vessel11;fkz11;2019-01-28;2019-01-29;DEHER;DEHER;HER;t;
45;2019;40605;DEU000010012;vessel12;fkz12;2019-06-05;2019-06-05;DEHAR16;DEHAR16;CNR;t;
46;2019;40816;DEU000010012;vessel12;fkz12;2019-03-31;2019-03-31;DEHER;DEHER;HER;t;
47;2017;40825;DEU000010012;vessel12;fkz12;2017-12-11;2017-12-12;DEHER;DEHER;HER;t;
48;2017;40804;DEU000010013;vessel13;fkz13;2017-02-26;2017-02-27;DEHER;DEHER;HER;t;
49;2017;41403;DEU000010013;vessel13;fkz13;2017-02-26;2017-02-27;DEHAR19;DEHAR19;MUK;t;
50;2019;40818;DEU000010014;vessel14;fkz14;2019-09-27;2019-09-28;DEHER;DEHER;HER;t;
51;2017;40820;DEU000010015;vessel15;fkz15;2017-04-23;2017-04-25;DEHER;DEHER;HER;t;
52;2017;40810;DEU000010016;vessel16;fkz16;2017-03-19;2017-03-20;DEHER;DEHER;HER;t;
53;2019;40812;DEU000010016;vessel16;fkz16;2019-03-11;2019-03-12;DEHER;DEHER;HER;t;
54;2017;40815;DEU000010016;vessel16;fkz16;2017-04-02;2017-04-03;DEHER;DEHER;HER;t;
55;2019;40815;DEU000010016;vessel16;fkz16;2019-03-26;2019-03-27;DEHER;DEHER;HER;t;
56;2018;40816;DEU000010016;vessel16;fkz16;2018-04-08;2018-04-09;DEHER;DEHER;HER;t;
57;2017;40821;DEU000010016;vessel16;fkz16;2017-05-07;2017-05-08;DEHER;DEHER;HER;t;
58;2018;40821;DEU000010016;vessel16;fkz16;2018-04-22;2018-04-23;DEHER;DEHER;HER;t;
59;2018;20331;DEU000010017;vessel17;fkz17;2018-10-07;2018-12-08;DEHAR27;DEHAR27;HGH;t;
60;2019;40321;DEU000010017;vessel17;fkz17;2019-07-10;2019-07-11;DEHAR6;DEHAR6;HGH;t;
61;2019;40606;DEU000010017;vessel17;fkz17;2019-07-17;2019-07-17;DEHAR6;DEHAR6;CNR;t;
62;2017;40805;DEU000010017;vessel17;fkz17;2017-03-05;2017-03-06;DEHER;DEHER;HER;t;
63;2019;40806;DEU000010017;vessel17;fkz17;2019-02-25;2019-02-26;DEHER;DEHER;HER;t;
64;2018;40815;DEU000010017;vessel17;fkz17;2018-04-08;2018-04-09;DEHER;DEHER;HER;t;
65;2018;40818;DEU000010017;vessel17;fkz17;2018-04-22;2018-04-23;DEHER;DEHER;HER;t;
66;2019;40340;DEU000010018;vessel18;fkz18;2019-12-10;2019-12-11;DEHAR24;DEHAR24;HGH;t;
67;2019;41601;DEU000010018;vessel18;fkz18;2019-12-10;2019-12-11;DEHAR24;DEHAR24;HGH;t;
68;2019;40807;DEU000010019;vessel19;fkz19;2019-02-25;2019-02-26;DEHER;DEHER;HER;t;
69;2017;40812;DEU000010019;vessel19;fkz19;2017-03-19;2017-03-20;DEHER;DEHER;HER;t;
70;2019;40805;DEU000010020;vessel20;fkz20;2019-02-25;2019-02-26;DEHER;DEHER;HER;t;
71;2017;40806;DEU000010020;vessel20;fkz20;2017-03-05;2017-03-06;DEHER;DEHER;HER;t;
72;2017;40811;DEU000010020;vessel20;fkz20;2017-03-18;2017-03-20;DEHER;DEHER;HER;t;
73;2018;40811;DEU000010020;vessel20;fkz20;2018-03-24;2018-03-25;DEHER;DEHER;HER;t;
74;2018;40814;DEU000010020;vessel20;fkz20;2018-04-08;2018-04-09;DEHER;DEHER;HER;t;
75;2019;40814;DEU000010020;vessel20;fkz20;2019-03-24;2019-03-25;DEHER;DEHER;HER;t;
76;2018;40819;DEU000010020;vessel20;fkz20;2018-04-22;2018-04-23;DEHER;DEHER;HER;t;
77;2017;40803;DEU000010021;vessel21;fkz21;2017-02-08;2017-02-09;DEHER;DEHER;HER;t;
78;2017;40816;DEU000010021;vessel21;fkz21;2017-04-02;2017-04-03;DEHER;DEHER;HER;t;
79;2019;40820;DEU000010021;vessel21;fkz21;2019-12-11;2019-12-12;DEHER;DEHER;HER;t;
80;2019;41402;DEU000010021;vessel21;fkz21;2019-01-21;2019-01-22;DEHAR19;DEHAR19;HGH;t;
81;2019;41409;DEU000010021;vessel21;fkz21;2019-12-16;2019-12-17;DEHAR19;DEHAR19;HGH;t;
82;2017;41410;DEU000010021;vessel21;fkz21;2017-11-07;2017-11-08;DEHAR19;DEHAR19;MUK;t;
83;2017;41413;DEU000010021;vessel21;fkz21;2017-11-14;2017-11-15;DEHAR19;DEHAR19;MUK;t;
84;2017;41416;DEU000010021;vessel21;fkz21;2017-11-20;2017-11-21;DEHAR19;DEHAR19;MUK;t;
85;2017;41422;DEU000010021;vessel21;fkz21;2017-12-04;2017-12-05;DEHAR19;DEHAR19;MUK;t;
86;2017;50314;DEU000010021;vessel21;fkz21;2017-05-18;2017-05-18;DEHAR23;DEHAR23;DEM;t;
87;2018;40317;DEU000010022;vessel22;fkz22;2018-05-18;2018-05-18;DEHAR1;DEHAR1;DEM;t;
88;2017;40318;DEU000010022;vessel22;fkz22;2017-06-26;2017-06-28;DEHAR25;DEHAR25;DEM;t;
89;2019;40329;DEU000010022;vessel22;fkz22;2019-09-22;2019-09-23;DEHAR24;DEHAR24;HGH;t;
90;2017;40334;DEU000010022;vessel22;fkz22;2017-09-17;2017-09-17;DEHAR24;DEHAR24;DEM;t;
91;2017;40336;DEU000010022;vessel22;fkz22;2017-10-16;2017-10-17;DEHAR24;DEHAR24;DEM;t;
92;2018;40806;DEU000010022;vessel22;fkz22;2018-02-18;2018-02-19;DEHER;DEHER;HER;t;
93;2019;40808;DEU000010022;vessel22;fkz22;2019-03-03;2019-03-04;DEHER;DEHER;HER;t;
94;2018;40820;DEU000010023;vessel23;fkz23;2018-04-22;2018-04-23;DEHER;DEHER;HER;t;
95;2019;40603;DEU000010024;vessel24;fkz24;2019-04-25;2019-04-25;DEHAR7;DEHAR7;CNR;t;
96;2018;40604;DEU000010024;vessel24;fkz24;2018-08-23;2018-08-23;DEHAR25;DEHAR25;CNR;t;
97;2019;40102;DEU000010025;vessel25;fkz25;2019-09-29;2019-09-29;DEHAR7;DEHAR7;KRM;t;
98;2019;40101;DEU000010026;vessel26;fkz26;2019-09-20;2019-09-22;DEHAR23;DEHAR23;STP;t;
99;2018;40323;DEU000010026;vessel26;fkz26;2018-06-30;2018-06-30;DEHAR23;DEHAR23;DEM;t;
100;2018;40332;DEU000010026;vessel26;fkz26;2018-10-10;2018-10-10;DEHAR23;DEHAR23;HGH;t;
101;2017;40808;DEU000010026;vessel26;fkz26;2017-03-12;2017-03-13;DEHER;DEHER;HER;t;
102;2017;40813;DEU000010026;vessel26;fkz26;2017-03-27;2017-03-28;DEHER;DEHER;HER;t;
103;2017;41406;DEU000010026;vessel26;fkz26;2017-03-27;2017-03-28;DEHAR19;DEHAR19;MUK;t;
104;2018;41408;DEU000010026;vessel26;fkz26;2018-12-03;2018-12-04;DEHAR19;DEHAR19;HGH;t;
105;2018;50310;DEU000010026;vessel26;fkz26;2018-03-26;2018-03-26;DEHAR23;DEHAR23;DEM;t;
106;2019;50310;DEU000010026;vessel26;fkz26;2019-03-23;2019-03-23;DEHAR23;DEHAR23;HGH;t;
107;2018;50316;DEU000010026;vessel26;fkz26;2018-05-09;2018-05-09;DEHAR23;DEHAR23; DE;t;
108;2017;50317;DEU000010026;vessel26;fkz26;2017-06-18;2017-06-18;DEHAR23;DEHAR23;DEM;t;
109;2017;20804;DEU000010027;vessel27;fkz27;2017-03-20;2017-03-21;DEHER;DEHER;HER;t;
110;2017;20612;DEU000010028;vessel28;fkz28;2017-03-27;2017-03-27;DEHAR13;DEHAR13;HGM;t;
111;2018;20402;DEU000010028;vessel28;fkz28;2018-01-25;2018-01-25;DEHAR13;DEHAR13;JNK;t;
112;2019;20315;DEU000010029;vessel29;fkz29;2019-05-14;2019-05-15;DEHAR9;DEHAR9;HGH;t;
113;2017;20321;DEU000010030;vessel30;fkz30;2017-07-14;2017-07-14;DEHAR17;DEHAR17;DEM;t;
114;2017;20324;DEU000010030;vessel30;fkz30;2017-07-22;2017-07-22;DEHAR17;DEHAR17;DEM;t;
115;2018;20327;DEU000010030;vessel30;fkz30;2018-08-22;2018-08-22;DEHAR17;DEHAR17;HGH;t;
116;2018;20328;DEU000010030;vessel30;fkz30;2018-09-10;2018-09-10;DEHAR17;DEHAR17;HGH;t;
117;2017;20306;DEU000010031;vessel31;fkz31;2017-01-25;2017-01-25;DEHAR11;DEHAR11;DEM;t;
118;2018;40812;DEU000010032;vessel32;fkz32;2018-03-25;2018-03-26;DEHER;DEHER;HER;t;
119;2018;40804;DEU000010033;vessel33;fkz33;2018-02-12;2018-02-12;DEHER;DEHER;HER;t;
120;2018;40822;DEU000010033;vessel33;fkz33;2018-12-03;2018-12-04;DEHER;DEHER;HER;t;
121;2018;41403;DEU000010033;vessel33;fkz33;2018-02-12;2018-02-12;DEHAR19;DEHAR19;MUK;t;
122;2019;41405;DEU000010033;vessel33;fkz33;2019-02-18;2019-02-19;DEHAR19;DEHAR19;HGH;t;
123;2018;41409;DEU000010033;vessel33;fkz33;2018-12-03;2018-12-04;DEHAR19;DEHAR19;HGH;t;
124;2017;41424;DEU000010033;vessel33;fkz33;2017-12-11;2017-12-12;DEHAR19;DEHAR19;MUK;t;
125;2019;20304;DEU000010034;vessel34;fkz34;2019-01-27;2019-01-27;DEHAR11;DEHAR11;HGH;t;
126;2019;20324;DEU000010034;vessel34;fkz34;2019-08-07;2019-08-07;DEHAR11;DEHAR11;HGH;t;
127;2017;20338;DEU000010034;vessel34;fkz34;2017-11-07;2017-11-07;DEHAR11;DEHAR11;DEM;t;
128;2019;20411;DEU000010034;vessel34;fkz34;2019-12-03;2019-12-03;DEHAR11;DEHAR11;JAN;t;
129;2018;20805;DEU000010035;vessel35;fkz35;2018-05-03;2018-05-04;DEHER;DEHER;HER;t;
130;2019;20805;DEU000010035;vessel35;fkz35;2019-04-01;2019-04-02;DEHER;DEHER;HER;t;
131;2017;20808;DEU000010035;vessel35;fkz35;2017-04-22;2017-04-24;DEHER;DEHER;HER;t;
132;2017;20809;DEU000010035;vessel35;fkz35;2017-05-08;2017-05-09;DEHER;DEHER;HER;t;
133;2017;20810;DEU000010035;vessel35;fkz35;2017-11-05;2017-11-06;DEHER;DEHER;HER;t;
134;2017;20310;DEU000010035;vessel35;fkz35;2017-03-23;2017-03-23;DEHAR11;DEHAR11;DEM;t;
135;2019;20803;DEU000010035;vessel35;fkz35;2019-03-18;2019-03-19;DEHER;DEHER;HER;t;
136;2017;20803;DEU000010036;vessel36;fkz36;2017-03-11;2017-03-14;DEHER;DEHER;HER;t;
137;2018;20608;DEU000010037;vessel37;fkz37;2018-12-04;2018-12-04;DEHAR26;DEHAR26;CNR;t;
138;2019;40320;DEU000010038;vessel38;fkz38;2019-06-30;2019-06-30;DEHAR23;DEHAR23;HGH;t;
139;2017;40801;DEU000010038;vessel38;fkz38;2017-01-09;2017-01-10;DEHER;DEHER;HER;t;
140;2018;40802;DEU000010038;vessel38;fkz38;2018-01-16;2018-01-16;DEHER;DEHER;HER;t;
141;2019;40811;DEU000010038;vessel38;fkz38;2019-03-11;2019-03-12;DEHER;DEHER;HER;t;
142;2018;40813;DEU000010038;vessel38;fkz38;2018-03-26;2018-03-27;DEHER;DEHER;HER;t;
143;2017;40818;DEU000010038;vessel38;fkz38;2017-04-19;2017-04-20;DEHER;DEHER;HER;t;
144;2019;40821;DEU000010038;vessel38;fkz38;2019-12-16;2019-12-17;DEHER;DEHER;HER;t;
145;2017;41401;DEU000010038;vessel38;fkz38;2017-01-09;2017-01-10;DEHAR19;DEHAR19;MUK;t;
146;2018;41401;DEU000010038;vessel38;fkz38;2018-01-16;2018-01-16;DEHAR19;DEHAR19;MUK;t;
147;2019;41403;DEU000010038;vessel38;fkz38;2019-01-22;2019-01-22;DEHAR19;DEHAR19;HGH;t;
148;2017;41405;DEU000010038;vessel38;fkz38;2017-02-27;2017-02-27;DEHAR19;DEHAR19;MUK;t;
149;2018;41406;DEU000010038;vessel38;fkz38;2018-03-27;2018-03-27;DEHAR19;DEHAR19;MUK;t;
150;2019;41406;DEU000010038;vessel38;fkz38;2019-02-18;2019-02-19;DEHAR19;DEHAR19;HGH;t;
151;2017;41407;DEU000010038;vessel38;fkz38;2017-03-27;2017-03-28;DEHAR19;DEHAR19;MUK;t;
152;2018;41407;DEU000010038;vessel38;fkz38;2018-12-03;2018-12-04;DEHAR19;DEHAR19;HGH;t;
153;2019;41407;DEU000010038;vessel38;fkz38;2019-03-11;2019-03-12;DEHAR19;DEHAR19;HGH;t;
154;2017;41409;DEU000010038;vessel38;fkz38;2017-04-19;2017-04-20;DEHAR19;DEHAR19;MUK;t;
155;2019;41411;DEU000010038;vessel38;fkz38;2019-12-16;2019-12-17;DEHAR19;DEHAR19;HGH;t;
156;2017;41420;DEU000010038;vessel38;fkz38;2017-11-29;2017-11-30;DEHAR19;DEHAR19;MUK;t;
157;2018;20306;DEU000010039;vessel39;fkz39;2018-01-27;2018-01-27;DEHAR9;DEHAR9;DEM;t;
158;2019;20313;DEU000010039;vessel39;fkz39;2019-04-17;2019-04-17;DEHAR9;DEHAR9;HGH;t;
159;2017;20319;DEU000010039;vessel39;fkz39;2017-07-08;2017-07-08;DEHAR9;DEHAR9;DEM;t;
160;2018;20321;DEU000010039;vessel39;fkz39;2018-06-19;2018-06-19;DEHAR9;DEHAR9;DEM;t;
161;2018;20401;DEU000010039;vessel39;fkz39;2018-01-10;2018-01-10;DEHAR12;DEHAR12;JNK;f;
162;2017;20601;DEU000010039;vessel39;fkz39;2017-01-10;2017-01-10;DEHAR18;DEHAR18;HGM;t;
163;2018;21501;DEU000010039;vessel39;fkz39;2018-01-27;2018-01-27;DEHAR9;DEHAR9;BMS;t;
164;2017;20304;DEU000010040;vessel40;fkz40;2017-01-23;2014-01-23;DEHAR20;DEHAR20;DEM;t;
165;2017;20307;DEU000010040;vessel40;fkz40;2017-02-19;2017-02-20;DEHAR4;DEHAR4;DEM;t;
166;2018;20308;DEU000010040;vessel40;fkz40;2018-02-21;2018-02-22;DEHAR4;DEHAR4;DEM;t;
167;2019;20325;DEU000010040;vessel40;fkz40;2019-08-13;2019-08-14;DEHAR4;DEHAR4;HGH;t;
168;2017;20339;DEU000010040;vessel40;fkz40;2017-11-26;2017-11-27;DEHAR4;DEHAR4;DEM;t;
169;2017;20340;DEU000010040;vessel40;fkz40;2017-11-27;2017-11-28;DEHAR4;DEHAR4;DEM;t;
170;2018;20606;DEU000010040;vessel40;fkz40;2018-10-18;2018-10-18;DEHAR4;DEHAR4;CNR;t;
171;2019;20406;DEU000010041;vessel41;fkz41;2019-03-21;2019-03-21;DEHAR15;DEHAR15;JNK;t;
172;2019;40330;DEU000010042;vessel42;fkz42;2019-09-22;2019-09-22;DEHAR23;DEHAR23;HGH;t;
173;2019;40331;DEU000010042;vessel42;fkz42;2019-10-14;2019-10-14;DEHAR23;DEHAR23;HGH;t;
174;2019;40336;DEU000010042;vessel42;fkz42;2019-11-13;2019-11-13;DEHAR23;DEHAR23;HGH;t;
175;2018;40801;DEU000010042;vessel42;fkz42;2018-01-02;2018-01-03;DEHER;DEHER;HER;t;
176;2019;40801;DEU000010042;vessel42;fkz42;2019-01-21;2019-01-22;DEHER;DEHER;HER;t;
177;2018;40803;DEU000010042;vessel42;fkz42;2018-01-30;2018-01-31;DEHER;DEHER;HER;t;
178;2019;40803;DEU000010042;vessel42;fkz42;2019-02-04;2019-02-05;DEHER;DEHER;HER;t;
179;2017;40824;DEU000010042;vessel42;fkz42;2017-12-04;2017-12-05;DEHER;DEHER;HER;t;
180;2019;41401;DEU000010042;vessel42;fkz42;2019-01-21;2019-01-22;DEHAR19;DEHAR19;HGH;t;
181;2018;41402;DEU000010042;vessel42;fkz42;2018-01-16;2018-01-17;DEHAR19;DEHAR19;MUK;t;
182;2017;41414;DEU000010042;vessel42;fkz42;2017-11-14;2017-11-15;DEHAR19;DEHAR19;MUK;t;
183;2017;41421;DEU000010042;vessel42;fkz42;2017-12-04;2017-12-05;DEHAR19;DEHAR19;MUK;t;
